school_name,address,postal_code,url_address,region,education_level,lat,lon
BEACON PRIMARY SCHOOL,36 Bukit Panjang Ring Road   ,679944,https://beaconpri.moe.edu.sg/,West,Primary,1.378,103.763
BEATTY SECONDARY SCHOOL,1 TOA PAYOH NORTH   ,318990,http://www.beattysec.moe.edu.sg,Central,Secondary,1.332,103.848
BEDOK GREEN PRIMARY SCHOOL,1 BEDOK SOUTH AVE 2   ,469317,http://www.bedokgreenpri.moe.edu.sg,East,Primary,1.323,103.935
BEDOK GREEN SECONDARY SCHOOL,360 BEDOK NORTH AVE 3   ,469722,http://www.bedokgreensec.moe.edu.sg,East,Secondary,1.323,103.935
BEDOK SOUTH SECONDARY SCHOOL,1 JALAN LANGGAR BEDOK   ,468585,https://www.bedoksouthsec.moe.edu.sg/,East,Secondary,1.323,103.935
BEDOK VIEW SECONDARY SCHOOL,6 BEDOK SOUTH AVENUE 3   ,469293,http://www.bedokviewsec.moe.edu.sg,East,Secondary,1.323,103.935
BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD   ,339948,http://www.bendemeerpri.moe.edu.sg/,Central,Primary,1.328,103.855
BENDEMEER SECONDARY SCHOOL,1 ST WILFRED ROAD   ,327919,http://www.bendemeersec.moe.edu.sg,Central,Secondary,1.328,103.855
BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS   ,109100,http://www.blangahrisepri.moe.edu.sg/,Central,Primary,1.279,103.801
BOON LAY GARDEN PRIMARY SCHOOL,20 BOON LAY DRIVE   ,649930,www.boonlaygardenpri.moe.edu.sg,West,Primary,1.34,103.702
BOON LAY SECONDARY SCHOOL,11 JURONG WEST STREET 65   ,648354,https://www.boonlaysec.moe.edu.sg,West,Secondary,1.34,103.702
BOWEN SECONDARY SCHOOL,2 LORONG NAPIRI   ,547529,http://www.bowensec.moe.edu.sg,North,Secondary,1.392,103.893
BROADRICK SECONDARY SCHOOL,61 DAKOTA CRESCENT   ,399935,http://www.broadricksec.moe.edu.sg,Central,Secondary,1.318,103.887
BUKIT BATOK SECONDARY SCHOOL,50 BUKIT BATOK WEST AVE 8   ,658962,http://www.bukitbatoksec.moe.edu.sg,West,Secondary,1.359,103.752
BUKIT MERAH SECONDARY SCHOOL,10 LENGKOK BAHRU   ,159050,http://www.bukitmerahsec.moe.edu.sg,Central,Secondary,1.286,103.818
BUKIT PANJANG GOVT. HIGH SCHOOL,7 CHOA CHU KANG AVE 4   ,689809,http://www.bpghs.moe.edu.sg,West,Secondary,1.384,103.745
BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD   ,679676,http://www.bukitpanjangpri.moe.edu.sg,West,Primary,1.378,103.763
BUKIT TIMAH PRIMARY SCHOOL,111 Lorong Kismis   ,598112,http://www.bukittimahpri.moe.edu.sg,West,Primary,1.338,103.768
BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21   ,659634,http://www.bukitviewpri.moe.edu.sg,West,Primary,1.359,103.752
BUKIT VIEW SECONDARY SCHOOL,16 BUKIT BATOK STREET 21   ,659633,https://www.bukitviewsec.moe.edu.sg,West,Secondary,1.359,103.752
CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE   ,757714,http://www.canberrapri.moe.edu.sg,North,Primary,1.448,103.82
CANBERRA SECONDARY SCHOOL,51 SEMBAWANG DRIVE   ,757699,https://canberrasec.moe.edu.sg,North,Secondary,1.448,103.82
CANOSSA CATHOLIC PRIMARY SCHOOL,1 Sallim Road   ,387621,https://canossacatholicpri.moe.edu.sg/,Central,Primary,1.318,103.887
CANTONMENT PRIMARY SCHOOL,1 CANTONMENT CLOSE   ,088256,http://www.cantonmentpri.moe.edu.sg,Central,Primary,1.274,103.843
CASUARINA PRIMARY SCHOOL,30 PASIR RIS ST 41   ,518935,http://www.casuarinapri.moe.edu.sg/,East,Primary,1.372,103.949
CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22   ,579767,http://www.catholichigh.moe.edu.sg,Central,Mixed Level,1.356,103.844
CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD   ,297822,https://cjc.moe.edu.sg/,Central,Junior College,1.325,103.841
CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE   ,349692,http://www.cedargirlssec.moe.edu.sg,Central,Secondary,1.332,103.87
CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE   ,349700,http://www.cedarpri.moe.edu.sg,Central,Primary,1.332,103.87
CHANGKAT CHANGI SECONDARY SCHOOL,23 SIMEI ST 3   ,529894,http://www.changkatchangisec.moe.edu.sg,East,Secondary,1.352,103.944
CHANGKAT PRIMARY SCHOOL,11 SIMEI ST 3   ,529896,http://www.changkatpri.moe.edu.sg/,East,Primary,1.352,103.944
CHIJ (KATONG) PRIMARY,17 MARTIA ROAD   ,424821,http://chijkcp.moe.edu.sg/,Central,Primary,1.304,103.905
CHIJ (KELLOCK),1 Bukit Teresa Road   ,099757,http://www.chijkellock.moe.edu.sg/,Central,Primary,1.27,103.815
CHIJ KATONG CONVENT,346 MARINE TERRACE   ,449150,http://www.chijkatongconvent.moe.edu.sg,Central,Secondary,1.304,103.905
CHIJ OUR LADY OF GOOD COUNSEL,2C Burghley Drive   ,558979,http://www.chijourladyofgoodcounsel.moe.edu.sg,North,Primary,1.365,103.875
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD   ,534793,http://www.chijourladyofthenativity.moe.edu.sg/,North,Primary,1.365,103.875
CHIJ OUR LADY QUEEN OF PEACE,4 Chestnut Drive   ,679287,http://www.chijourladyqueenofpeace.moe.edu.sg/,West,Primary,1.378,103.763
