Source,Project,Address,Price,Size_sqft,PSF
EdgeProp,ALEXANDRA TECHNOPARK,"$14,932, ALEXANDRA TECHNOPARK, Less than 30 mins to City Centre",14932,3111,4.8
EdgeProp,991 ALEXANDRA,"$18,720, 991 ALEXANDRA, 1 MRT/LRT Currently nearby",18720,3900,4.8
EdgeProp,991 ALEXANDRA,"$29,280, 991 ALEXANDRA, 5 Parks nearby",29280,6100,4.8
EdgeProp,991 ALEXANDRA,"$9,600, 991 ALEXANDRA, 5 Parks nearby",9600,2000,4.8
EdgeProp,OUTRAM ROAD,"EXCLUSIVE, $5,300, OUTRAM ROAD",5300,1100,4.82
99co,"123 Kitchener Road, 208512","S$ 20,000/mo, S$ 4.82 psf, 123 Kitchener Road, 208512",20000,4150,4.82
99co,"S$ 20,000/mo","S$ 20,000/mo, S$ 4.82 psf",20000,4149,4.82
99co,VIEW TO OFFER,"S$ 2,200/mo, S$ 4.87 psf, VIEW TO OFFER",2200,452,4.87
99co,"S$ 2,200/mo","S$ 2,200/mo, S$ 4.87 psf, VIEW TO OFFER",2200,451,4.87
99co,READY TO MOVE,"READY TO MOVE, Curated by 99, S$ 3,600/mo",3600,738,4.88
99co,"S$ 3,600/mo","S$ 3,600/mo, S$ 4.88 psf, NEGO",3600,737,4.88
99co,VIEW TO OFFER,"S$ 4,200/mo, S$ 4.88 psf, VIEW TO OFFER",4200,861,4.88
99co,"S$ 4,200/mo","S$ 4,200/mo, S$ 4.88 psf, VIEW TO OFFER",4200,860,4.88
EdgeProp,80 BENDEMEER ROAD,"$88,000, 80 BENDEMEER ROAD, 1 Mall nearby",88000,18001,4.89
99co,READY TO MOVE,"READY TO MOVE, Curated by 99, S$ 4,888/mo",4888,1000,4.89
99co,"S$ 4,888/mo","S$ 4,888/mo, S$ 4.89 psf, NEGO",4888,999,4.89
EdgeProp,80 BENDEMEER ROAD,"$31,342, 80 BENDEMEER ROAD, 2 MRT/LRTs Currently nearby",31342,6396,4.9
EdgeProp,80 BENDEMEER ROAD,"$35,702, 80 BENDEMEER ROAD, 3 Bus Stops nearby",35702,7286,4.9
EdgeProp,80 BENDEMEER ROAD,"$28,703, 80 BENDEMEER ROAD, 3 Bus Stops nearby",28703,5858,4.9
EdgeProp,WOODS SQUARE,"EXCLUSIVE, $26,107, WOODS SQUARE",26107,5328,4.9
EdgeProp,Selegie Road,"$2,999, PARKLANE SHOPPING MALL, 6 MRT/LRTs Currently nearby",2999,610,4.92
EdgeProp,THE PLAZA,"$3,600, THE PLAZA, 3 MRT/LRTs Currently nearby",3600,730,4.93
EdgeProp,RIVER VALLEY ROAD,"EXCLUSIVE, $4,800, RIVER VALLEY ROAD",4800,971,4.94
99co,STARTING PRICE,"S$ 6,300/mo, S$ 4.94 psf, STARTING PRICE",6300,1275,4.94
99co,"S$ 6,300/mo","S$ 6,300/mo, S$ 4.94 psf, STARTING PRICE",6300,1275,4.94
99co,Kingston Terrace,"S$ 12,900/mo, S$ 4.97 psf, Kingston Terrace",12900,2594,4.97
99co,"S$ 12,900/mo","S$ 12,900/mo, S$ 4.97 psf",12900,2595,4.97
99co,Kingston Terrace,"S$ 12,888/mo, S$ 4.97 psf, Kingston Terrace",12888,2594,4.97
99co,"S$ 12,888/mo","S$ 12,888/mo, S$ 4.97 psf",12888,2593,4.97
EdgeProp,VISION EXCHANGE,"$8,000, VISION EXCHANGE, Only 5.5% above Project Avg",8000,1604,4.99
99co,TE 6,"S$ 4,300/mo, S$ 4.99 psf, 157 Ang Mo Kio Avenue 4, 560157",4300,861,4.99
99co,"S$ 4,300/mo","S$ 4,300/mo, S$ 4.99 psf",4300,861,4.99
EdgeProp,$5 PSF,"$5 PSF, 1,100 sqft, 999 years",5500,1100,5.0
EdgeProp,99 Yrs From 01/01/1970,"$5 PSF, 680 sqft, 99 Yrs From 01/01/1970",3400,680,5.0
EdgeProp,Selegie Road,"$5 PSF, 610 sqft, 99 years",3050,610,5.0
EdgeProp,VISION EXCHANGE,"$4,199, VISION EXCHANGE, 1 MRT/LRT Currently nearby",4199,840,5.0
EdgeProp,99 Yrs From 10/06/2013,"$5 PSF, D22, 840 sqft",4200,840,5.0
EdgeProp,99 Yrs From 10/06/2013,"$5 PSF, D22, 764 sqft",3820,764,5.0
EdgeProp,99 Yrs From 03/09/1968,"$5 PSF, 1,787 sqft, 99 Yrs From 03/09/1968",8935,1787,5.0
EdgeProp,99 Yrs From 10/06/2013,"$5 PSF, D22, 1,604 sqft",8020,1604,5.0
EdgeProp,Unknown,"$5 PSF, D22, 840 sqft",4200,840,5.0
EdgeProp,Unknown,"$5 PSF, 1,440 sqft, Unknown",7200,1440,5.0
EdgeProp,6 Changi Business Park Ave 1,"$5 PSF, D19, 6,931 sqft",34655,6931,5.0
EdgeProp,6 Changi Business Park Ave 1,"$5 PSF, D19, 2,354 sqft",11770,2354,5.0
EdgeProp,Freehold,"$5 PSF, 10,861 sqft, Freehold",54305,10861,5.0
EdgeProp,Freehold,"$5 PSF, 3,111 sqft, Freehold",15555,3111,5.0
EdgeProp,Chin Swee Road,"$5 PSF, 939 sqft, 99 Years",4695,939,5.0
EdgeProp,$5 PSF,"$5 PSF, 688 sqft, 99 Years",3440,688,5.0
EdgeProp,Unknown,"$5 PSF, 3,900 sqft, Unknown",19500,3900,5.0
EdgeProp,Unknown,"$5 PSF, 2,000 sqft, Unknown",10000,2000,5.0
EdgeProp,Unknown,"$5 PSF, 6,100 sqft, Unknown",30500,6100,5.0
EdgeProp,Unknown,"$5 PSF, 1,870 sqft, Unknown",9350,1870,5.0
EdgeProp,ORCHARD TOWERS,"$6,415, ORCHARD TOWERS, 2 Bus Stops nearby",6415,1283,5.0
EdgeProp,Freehold,"$5 PSF, 1,283 sqft, Freehold",6415,1283,5.0
EdgeProp,$5 PSF,"$5 PSF, D12, Built: 2015",4845,969,5.0
EdgeProp,VISION EXCHANGE,"$3,820, VISION EXCHANGE, 1 MRT/LRT Currently nearby",3820,764,5.0
EdgeProp,Tampines Street 23,"$5 PSF, D18, 940 sqft",4700,940,5.0
EdgeProp,Irving Place,"$5 PSF, D13, Built: 2013",2155,431,5.0
EdgeProp,Jalan Sultan,"$5 PSF, Built: 1974, 220 sqft",1100,220,5.0
EdgeProp,Bendemeer Road,"$5 PSF, D12, 6,396 sqft",31980,6396,5.0
EdgeProp,Bendemeer Road,"$5 PSF, D12, 22,724 sqft",113620,22724,5.0
EdgeProp,Bendemeer Road,"$5 PSF, D12, 6,620 sqft",33100,6620,5.0
EdgeProp,Changi Business Park Crescent,"$5 PSF, D16, 22,331 sqft",111655,22331,5.0
EdgeProp,Bendemeer Road,"$5 PSF, D12, 7,286 sqft",36430,7286,5.0
EdgeProp,Bendemeer Road,"$5 PSF, D12, 5,858 sqft",29290,5858,5.0
EdgeProp,Bendemeer Road,"$5 PSF, D12, 18,001 sqft",90005,18001,5.0
EdgeProp,SIM LIM SQUARE,"$6,999, SIM LIM SQUARE, Shop",6999,1399,5.0
EdgeProp,$5 PSF,"$5 PSF, Built: 1987, 1,399 sqft",6995,1399,5.0
EdgeProp,Beach Road,"$5 PSF, 730 sqft, 99 years",3650,730,5.0
